Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ip.dsfield.dscp,CS2D1,CV,3.0,0.0,0.3859375848028735,0.08653045254026942,0.1334860019519794,0.08653045254026942,0.07203466047084708,0.02175884448398124,0.0,0.03167929649353025,0.00036687850952148
ip.dsfield.ecn,CS2D1,CV,3.0,0.0,0.3859118867673479,0.0862992582665895,0.06681869978108393,0.0862992582665895,0.07157383169685441,0.0217053493664387,0.0,0.025021553039550736,0.00312519073486328
p.dst,_CS2D1_,CV,,,,,,,,,,,
ip.flags,CS2D1,CV,3.0,0.0,0.4141112296709446,0.1482731726336108,0.09314153640246671,0.1482731726336108,0.10697135110058195,0.11992491429685212,0.0,0.02810511589050288,0.0031104564666747997
ip.flags.df,CS2D1,CV,3.0,0.0,0.4143338447810521,0.14415879239319326,0.09330345609943827,0.14415879239319326,0.1067272308217649,0.11989216585061746,0.0,0.025433206558227478,0.00582003593444822
ip.flags.mf,CS2D1,CV,3.0,0.0,0.38591189519795077,0.08630056927740251,0.06682025919110697,0.08630056927740251,0.07157538148228074,0.021705611434515458,0.0,0.021737146377563462,0.00639333724975584
ip.flags.rb,CS2D1,CV,3.0,0.0,0.38591188850845076,0.0862991895668537,0.06681923439750814,0.0862991895668537,0.07157451414283929,0.02170765077205944,0.0,0.02538752555847164,0.00378484725952146
ip.frag_offset,CS2D1,CV,3.0,0.0,0.38591187274688876,0.08630023459191245,0.06681892728189856,0.08630023459191245,0.07157413744097099,0.02170881535939814,0.0,0.021912670135497997,0.006280136108398419
ip.hdr_len,CS2D1,CV,3.0,0.0,0.38591188319350533,0.0862998880671205,0.06681790860762345,0.0862998880671205,0.07157411986928834,0.021696126912428903,0.0,0.031224155426025337,0.00112476348876952
ip.id,CS2D1,CV,3.0,0.0,0.49721517062106646,0.2460373035585403,0.3469827972862839,0.2460373035585403,0.2609060960743568,0.2617123387126303,0.0,0.3275004863739014,0.00657620429992674
ip.len,CS2D1,CV,3.0,0.0,0.6064507049639463,0.43994735853385525,0.6549155677175744,0.43994735853385525,0.4679839115689754,0.4167059920814956,0.0,0.1089984893798828,0.009375858306884739
ip.opt.len,CS2D1,CV,3.0,0.0,0.4101212658565311,0.09093547074791322,0.17150140578557874,0.09093547074791322,0.06110736294384268,0.04870799402196642,0.0,0.02289819717407222,0.00310950279235838
ip.opt.ra,CS2D1,CV,3.0,0.0,0.3812455337563755,0.08354399446785055,0.09062821339960682,0.08354399446785055,0.04638448034537172,0.00152886718834752,0.0,0.0188463687896728,0.0031255722045898404
ip.opt.type.class,CS2D1,CV,3.0,0.0,0.4100228141920142,0.09004390266910442,0.1145638057729649,0.09004390266910442,0.05935318425578506,0.048475510154729,0.0,0.021318769454956022,0.00583996772766112
ip.opt.type.copy,CS2D1,CV,3.0,0.0,0.41002280374539757,0.09004357837674387,0.11456312035151513,0.09004357837674387,0.059353029686306256,0.04847147343360542,0.0,0.02502169609069818,0.0
ip.opt.type,CS2D1,CV,3.0,0.0,0.4101555474371089,0.09169963508237006,0.17057365798322938,0.09169963508237006,0.06256838947430492,0.0488403239995828,0.0,0.02505307197570796,0.0031250476837158202
ip.opt.type.number,CS2D1,CV,3.0,0.0,0.4100228033788496,0.09004370534050524,0.11456305711960284,0.09004370534050524,0.05935323616324815,0.04846943644714194,0.0,0.02192211151123042,0.006237316131591781
ip.proto,CS2D1,CV,3.0,0.0,0.43063613060258615,0.10058599936316429,0.1472073411980011,0.10058599936316429,0.0875139350906037,0.087469367977864,0.0,0.031276321411132776,0.0
p.src,_CS2D1_,CV,,,,,,,,,,,
p.src_host,_CS2D1_,CV,,,,,,,,,,,
ip.ttl,CS2D1,CV,3.0,0.0,0.4406024174187554,0.1575417811097549,0.1808452359803802,0.1575417811097549,0.1289142858207013,0.15691630669500306,0.0,0.03425178527832026,0.0037537097930908
ip.version,CS2D1,CV,3.0,0.0,0.4151857930360678,0.09291181195547506,0.0730199319479659,0.09291181195547506,0.07636633054805302,0.06884884077834008,0.0,0.0240005493164062,0.0031268596649169796
ipv6.flow,CS2D1,CV,3.0,0.0,0.4095861714572421,0.08994417375943552,0.11520422663554004,0.08994417375943552,0.05916526827792782,0.047746883964955966,0.0,0.019498252868652283,0.00575246810913084
ipv6.opt,CS2D1,CV,3.0,0.0,0.3808088417209037,0.08344552654132817,0.0969194767926719,0.08344552654132817,0.046165809539799936,0.00081358547466516,0.0,0.025265455245971617,0.0036666870117187202
ipv6.opt.length,CS2D1,CV,3.0,0.0,0.38080886582143153,0.08344548068448676,0.09744810544706403,0.08344548068448676,0.04616585416351078,0.0008132645149691399,0.0,0.019598627090454037,0.00312566757202148
