Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
Bwd Pkt Len Mean,DD1,DD,0.0,2.0,0.5623628691983122,0.5144101849901092,0.52201389554019,0.5144101849901092,0.424019470268089,0.421563238496964,0.0,0.00905380249023434,0.0021238327026366598
Bwd Pkt Len Min,DD1,DD,0.0,2.0,0.8168213783403658,0.4091489710934108,0.5102124306330308,0.4091489710934108,0.4047507253635425,0.6071606432733097,0.0,0.0036109924316405596,0.0021271705627441
Bwd Pkt Len Std,DD1,DD,0.0,2.0,0.1489170182841069,0.1804374488982882,0.2145092193478928,0.1804374488982882,0.0878658716793212,0.074847101738789,0.0,0.006210470199584919,0.00167555809020992
Bwd PSH Flags,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.0019605636596679204,0.0017021656036376401
Bwd Seg Size Avg,DD1,DD,0.0,2.0,0.5623628691983122,0.5144101849901092,0.52201389554019,0.5144101849901092,0.424019470268089,0.421563238496964,0.0,0.00775494575500484,0.0034392356872558196
Bwd URG Flags,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.0021565437316894,0.00080637931823728
CWE Flag Count,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.0015180587768554399,0.0013923645019530998
Dst Port,DD1,DD,0.0,2.0,0.3620815752461322,0.3555105532539369,0.3692231970555664,0.3555105532539369,0.2771850027898932,0.24028151767482359,0.0,0.00442004203796382,0.00134377479553216
ECE Flag Cnt,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.00217866897583002,0.0009944915771484
FIN Flag Cnt,DD1,DD,0.0,2.0,0.0925457102672292,0.0833738466490748,0.0509953051643192,0.0833738466490748,0.0142156177490368,-0.0001455511281696,0.0,0.00204868316650384,0.00177350044250482
Flow Duration,DD1,DD,0.0,2.0,0.4865822784810126,0.42863758797668294,0.324368489645565,0.42863758797668294,0.3335554935370674,0.3368828589504794,0.0,0.03682813644409174,0.00312089920043942
Flow IAT Max,DD1,DD,0.0,2.0,0.44264416315049215,0.4276996060699281,0.3596123547541858,0.4276996060699281,0.3476294885515578,0.2759996518488354,0.0,0.0450114727020263,0.00522580146789548
Flow IAT Mean,DD1,DD,0.0,2.0,0.610632911392405,0.4686895674817899,0.409157298448308,0.4686895674817899,0.403613937917621,0.442782293591739,0.0,0.0482376098632812,0.0035387516021728
Flow IAT Min,DD1,DD,0.0,2.0,0.3612376933895921,0.3634572066690407,0.3016823110376168,0.3634572066690407,0.2860324011018857,0.2138514187250602,0.0,0.0356497764587402,0.00367918014526362
